,Cuestionario:Tema 1 - Parte Básica (Real),Cuestionario:Tema 2 - Parte Básica (Real),Cuestionario:Tema 3 - Parte Básica (Real),Cuestionario:Tema 1 - Parte Avanzada (Real),Cuestionario:Tema 2 - Parte Avanzada (Real),Cuestionario:Tema 3 - Parte Avanzada (Real),comision
0,-,-,-,-,-,-,datos_anonimizados
1,0.0,0.0,-,-,-,-,datos_anonimizados
2,2.5,1.8,2.0,2.67,-,3.0,datos_anonimizados
3,-,-,-,-,-,-,datos_anonimizados
4,1.0,2.0,1.67,-,0.5,-,datos_anonimizados
5,2.0,1.0,0.67,0.75,-,-,datos_anonimizados
6,3.0,3.0,2.0,3.67,1.0,2.0,datos_anonimizados
7,0.0,-,-,-,-,-,datos_anonimizados
8,1.0,0.0,3.0,-,-,0.0,datos_anonimizados
9,2.0,2.0,2.83,1.0,0.0,0.0,datos_anonimizados
10,3.0,3.0,1.83,2.0,2.75,-,datos_anonimizados
11,-,-,-,-,-,-,datos_anonimizados
12,0.0,0.0,1.33,-,-,-,datos_anonimizados
13,3.0,3.0,1.5,4.0,3.0,-,datos_anonimizados
14,2.0,2.0,0.0,1.25,0.0,-,datos_anonimizados
15,1.0,3.0,3.0,-,2.75,3.0,datos_anonimizados
16,-,-,-,-,-,-,datos_anonimizados
17,0.0,1.0,0.67,-,-,-,datos_anonimizados
18,-,-,-,-,-,-,datos_anonimizados
19,0.0,0.0,0.67,-,-,-,datos_anonimizados
20,-,-,-,-,-,-,datos_anonimizados
21,0.0,0.0,0.33,-,-,-,datos_anonimizados
22,-,-,-,-,-,-,datos_anonimizados
23,1.5,1.0,1.0,-,-,-,datos_anonimizados
24,3.0,3.0,3.0,3.0,1.0,3.0,datos_anonimizados
25,-,-,-,-,-,-,datos_anonimizados
26,-,-,-,-,-,-,datos_anonimizados
27,0.0,2.0,2.0,-,2.25,1.0,datos_anonimizados
28,2.0,1.0,2.83,2.75,-,3.0,datos_anonimizados
29,3.0,3.0,2.0,4.0,3.0,4.0,datos_anonimizados
30,3.0,2.0,2.0,1.42,0.0,1.0,datos_anonimizados
31,-,-,-,-,-,-,datos_anonimizados
32,-,-,-,-,-,-,datos_anonimizados
33,0.0,0.0,0.83,-,-,-,datos_anonimizados
34,-,-,-,-,-,-,datos_anonimizados
35,1.0,2.0,2.0,-,2.0,3.75,datos_anonimizados
36,0.0,0.0,-,-,-,-,datos_anonimizados
37,2.0,2.8,3.0,4.0,3.0,4.0,datos_anonimizados
38,3.0,3.0,3.0,4.0,4.0,4.0,datos_anonimizados
39,0.0,0.6,0.5,-,-,-,datos_anonimizados
40,1.5,2.0,2.0,-,3.0,2.0,datos_anonimizados
41,2.0,3.0,2.0,3.33,3.75,4.0,datos_anonimizados
42,2.0,2.0,1.5,3.5,1.75,-,datos_anonimizados
43,1.0,1.0,0.0,-,-,-,datos_anonimizados
44,-,-,-,-,-,-,datos_anonimizados
45,2.0,2.0,0.5,2.0,0.25,-,datos_anonimizados
46,-,-,-,-,-,-,datos_anonimizados
47,1.5,3.0,2.0,-,3.75,3.0,datos_anonimizados
48,-,-,-,-,-,-,datos_anonimizados
49,3.0,2.8,3.0,2.33,3.75,4.0,datos_anonimizados
50,0.5,1.0,1.33,-,-,-,datos_anonimizados
51,3.0,3.0,0.75,2.42,3.0,-,datos_anonimizados
52,-,-,-,-,-,-,datos_anonimizados
53,2.0,3.0,3.0,3.0,2.0,4.0,datos_anonimizados
54,3.0,3.0,2.5,2.5,2.0,3.0,datos_anonimizados
55,-,-,-,-,-,-,datos_anonimizados
56,-,-,-,-,-,-,datos_anonimizados
57,-,-,-,-,-,-,datos_anonimizados
58,0.0,2.0,3.0,-,1.25,2.0,datos_anonimizados
59,-,-,-,-,-,-,datos_anonimizados
60,-,-,-,-,-,-,datos_anonimizados
61,-,-,-,-,-,-,datos_anonimizados
62,3.0,1.2,1.33,3.0,-,-,datos_anonimizados
63,1.0,1.1,1.0,-,-,-,datos_anonimizados
64,1.25,1.3,1.0,-,-,-,datos_anonimizados
65,-,-,-,-,-,-,datos_anonimizados
66,-,-,-,-,-,-,datos_anonimizados
67,-,-,-,-,-,-,datos_anonimizados
68,-,-,-,-,-,-,datos_anonimizados
69,-,-,-,-,-,-,datos_anonimizados
70,-,-,-,-,-,-,datos_anonimizados
71,-,-,-,-,-,-,datos_anonimizados
